,Links,Category,Product_name,Price,Package,Quantity
0,https://ickala.com/battry-holder/22962-clock-battery-case.html,battry-holder,جا باطری ساعتی,28994,None,1299
1,https://ickala.com/battry-holder/29193-sarbatri-9volt-ketabi-vasat.html,battry-holder,سر باتری 9 ولت کتابی سیم دار سیم از بغل,58533,None,1028
2,https://ickala.com/adaptor/40513-adaptor.html,adaptor,اداپتور سویچینگ 7/5 ولت 3 آمپر,11990000,None,350
3,https://ickala.com/dc-to-dc-converters/41850-yd10-48s05.html,dc-to-dc-converters,YD10-48S05,5995000,None,400
4,https://ickala.com/onboard-actodc/40422-مبدل-ac-dc-ایزوله-5w-220v-12v-مدل-apxad5-s12.html,onboard-actodc,APXAD5-S12,991900,None,652
5,https://ickala.com/dc-to-dc-converters/41107-apxdd3-09d12.html,dc-to-dc-converters,APXDD3-09D12,2289000,None,230
6,https://ickala.com/clock-battry/22961-cr2016.html,clock-battry,CR2016,177670,None,230
7,https://ickala.com/clock-battry/22959-cr2025.html,clock-battry,CR2025,144970,None,213
8,https://ickala.com/dc-to-dc-converters/41110-apxdd3-09d05.html,dc-to-dc-converters,APXDD3-09D05,2289000,None,210
9,https://ickala.com/dc-to-dc-converters/41113-apxdd3-09s15.html,dc-to-dc-converters,APXDD3-09S15,2289000,None,198
10,https://ickala.com/dc-to-dc-converters/41108-apxdd3-09d15.html,dc-to-dc-converters,APXDD3-09D15,2289000,None,192
11,https://ickala.com/dc-to-dc-converters/41045-apxdd3-09s05.html,dc-to-dc-converters,APXDD3-09S05,2289000,None,210
12,https://ickala.com/dc-to-dc-converters/41114-apxdd3-09s12.html,dc-to-dc-converters,APXDD3-09S12,2289000,None,200
13,https://ickala.com/dc-to-dc-converters/41592-mkw1048-41592.html,dc-to-dc-converters,MKW1048,11205200,None,167
14,https://ickala.com/adaptor/26503-male-terminal-adapter.html,adaptor,فیش آداپتوری نری ترمینالی,106820,None,133
15,https://ickala.com/dc-to-dc-converters/41111-apxdd3-09s09.html,dc-to-dc-converters,APXDD3-09S09,2289000,None,150
16,https://ickala.com/dc-to-dc-converters/42459-spun02n-05.html,dc-to-dc-converters,SPUN02N-05,2561500,None,150
17,https://ickala.com/power-product/40942-scw03c-12.html,power-product,SCW03C-12,3815000,None,147
18,https://ickala.com/dc-to-dc-converters/41847-mkw2032-41847.html,dc-to-dc-converters,MKW2032,11281500,None,123
19,https://ickala.com/clock-battry/8223-cr1220.html,clock-battry,CR1220,163500,None,117
20,https://ickala.com/dc-to-dc-converters/41109-apxdd3-09s28.html,dc-to-dc-converters,APXDD3-09S28,2289000,None,99
21,https://ickala.com/power-product/40892-bxa75-48s05.html,power-product,BXA75-48S05,13625000,None,100
22,https://ickala.com/adaptor/26597-standard-adapter-to-micro-usb.html,adaptor,تبدیل آداپتور استاندارد به Micro USB,292120,None,98
23,https://ickala.com/dc-to-dc-converters/42099-miw1013.html,dc-to-dc-converters,MIW1013,5035800,None,98
24,https://ickala.com/dc-to-dc-converters/43134-mau321.html,dc-to-dc-converters,MAU321,3569750,None,90
